PureIntercept,,,
PureIntercept,PureIntercept,,
PureIntercept,PureIntercept,PureIntercept,Best relative fit agent R1 SNV vs opposing best
PureIntercept,,,
PureIntercept,PureIntercept,,
PureIntercept,PureIntercept,PureIntercept,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,R1 best rel vs r2 random test set starts here,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,finishes here,
PureIntercept,,R1 best GP vs r2 Random tests statrts here,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,finishes here,
PureIntercept,,,
PureIntercept,,,BestRel_SNV(6) vs worst red
PureIntercept,,,
PureIntercept,,best GP SNV(6) vs test set vv,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,
PureIntercept,,,ends here
EcuPureIntercept,,,
EcuPureIntercept,,,R2 best blue v red at 17
EcuPureIntercept,,,
EcuPureIntercept
EcuPureIntercept
EcuPureIntercept
round2_2_2_2_VS_round2_2_2_2
EcuPureIntercept
EcuPureIntercept
EcuPureIntercept
round2_SNV_24(8174)_BestRelBlue@200_VS_round2_SNV_24(8174)_BestOppRed
EcuPureIntercept,EcuConverting
EcuPureIntercept,EcuConverting
EcuPureIntercept,EcuConverting
round2_SNV_24(8174)_BestRelBlue@200_VS_round2_SNV_same_WorstOppRed
EcuPureIntercept
EcuPureIntercept
EcuPureIntercept
round2_f_f_f_VS_round2_f_f_f
EcuPureIntercept
EcuPureIntercept
EcuPureIntercept
round2_e_e_e_VS_round2_e_e_e
EcuPureIntercept
EcuPureIntercept
EcuPureIntercept
round2_g_g_g_VS_round2_g_g_g
EcuPureIntercept,EcuConverting
EcuPureIntercept,EcuConverting
EcuPureIntercept,EcuConverting
round2_r_r_r_VS_round2_r_r_r
EcuPureIntercept
EcuPureIntercept
EcuPureIntercept
round2_SNV_19(193)_BestGP@g1_VS_TESTSET
